ERC_Oligo,Other_Oligo,n_gene,cor_logFC,dataset,specif_score
Oligo.4,Oli.9,16,0.515262910829587,Green2024,NA
Oligo.5,COP,2987,0.1162306409380333,Green2024,NA
Oligo.5,MFOL,3189,0.2872995191384582,Green2024,0.027922505449941223
Oligo.5,OPC.1,2827,0.07103323502363691,Green2024,NA
Oligo.5,OPC.2,2491,-0.07869787805605559,Green2024,NA
Oligo.5,OPC.3,2186,-0.07797964329349283,Green2024,NA
Oligo.5,Oli.1,129,-0.5947943761443439,Green2024,NA
Oligo.5,Oli.10,12,0.1101021776209374,Green2024,NA
Oligo.5,Oli.11,18,0.3495422599316783,Green2024,NA
Oligo.5,Oli.12,379,-0.3617262544670895,Green2024,NA
Oligo.5,Oli.2,60,-0.6122458697582064,Green2024,NA
Oligo.5,Oli.3,43,0.38481552629772753,Green2024,NA
Oligo.5,Oli.4,512,0.2606990643063444,Green2024,NA
Oligo.5,Oli.5,480,0.07038230262812799,Green2024,NA
Oligo.5,Oli.6,109,-0.07091221192119146,Green2024,NA
Oligo.5,Oli.7,223,-0.3691597777507583,Green2024,-0.03280826259906288
Oligo.5,Oli.8,179,-0.3145134226973797,Green2024,-0.025313776978880993
Oligo.5,Oli.9,16,0.5782524983884226,Green2024,NA
